"title","broad_cir","broad_gmv","broad_roi","click","cost","cpc","cr","ctr","direct_gmv","impression","avg_rank","start_time","created_at","updated_at","fromWIB","toWIB"
"Udeng Rambut Palsu Pria - Udeng Jawa - Udeng Batik - Topi Rambut Palsu",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Udeng Rambut Palsu - Totopong Rambut Palsu - Ikat Kepala Batik Tradisional - Udeng Batik",0,0,0,0,0,0,0,0,0,0,0,1726678800,"2025-01-22 18:37:47","2025-01-22 18:37:47",,
"Topi Wig Anak - Topi Rambut Palsu Anak- Topi Cosplay Anime Anak Viral - Topi Sule Anak - Topi Bulu Korea Anak [3]",0,0,0,0,0,0,0,0,0,0,0,1736701200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Palsu - Udeng Rambut Palsu - Udeng Topi Rambut Palsu - Udeng Rambut Palsu Pria [4]",0,0,0,0,0,0,0,0,0,0,0,1731949200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Palestina - Topi Rambut Palsu - Topi Wig Palestina - Topi Bulu [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Palsu - Topi Rambut Palsu Anak - Rambut Palsu Topi Anak [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Golf Rambut Palsu - Topi Wig Golf - Topi Golf Bulu Korea - Topi Bulu Sule [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Suporter Timnas - Topi Rambut Persib - Topi Rambut Persija - Topi Rambut Arema - Topi Rambut Madura United - Topi Rambut Suporter Bola [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Palsu - Topi Wig - Topi Bulu - Topi Sule - Topi Rambut [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Udeng Rambut Palsu - Topi Rambut Palsu - Udeng Merah Putih - Udeng Rambut Palsu Pria [3]",0,0,0,0,0,0,0,0,0,0,0,1727197200,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Udeng Rambut Palsu Anak - Udeng Rambut Batik Anak - Topi Rambut Palsu Anak - Topi Wig Anak [2]",0,0,0,0,0,0,0,0,0,0,0,1726938000,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut Palsu - Topi Rambut Brigez - Topi Rambut XTC - Topi Bulu - Topi Wig [3]",0,0,0,0,0,0,0,0,0,0,0,1726938000,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Topi Rambut E-sport - Topi Rambut Palsu - Topi Wig - Topi Bulu E-sport [3]",0,0,0,0,0,0,0,0,0,0,0,1726938000,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
"Udeng Merah Putih - Topi Udeng Bulu Viral - Ikat Kepala Udeng Rambut Palsu - Iket Kepala Merah Putih [3]",0,0,0,0,0,0,0,0,0,0,0,1726938000,"2025-01-22 19:19:37","2025-01-22 19:19:37",,
